symbol,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
LIGHTCMDUSD,168,202,0.5247524752475248,0.47029702970297027,0.0049504950495049506,-0.1350475810045331,0.24699196835713189,4.810113038694317,-2.8175226215671194,0.24699196835713189,2.670892533556312,0.5247524752475248,0.47029702970297027,0.5247524752475248,-0.3990315284015473,0.45606660820358375,0.5925144366386639,UNVERIFIED_PYTHON_APPROXIMATION,usable
LIGHTCMDUSD,336,202,0.504950495049505,0.49504950495049505,0.0,-0.25196195999771903,0.11477588935233929,5.692825956312144,-3.8485055347240014,0.11477588935233929,3.0859409613087143,0.504950495049505,0.49504950495049505,0.504950495049505,-0.6290465085639717,0.43655528826388157,0.5731609207045679,UNVERIFIED_PYTHON_APPROXIMATION,borderline
USDJPY,24,148,0.44594594594594594,0.5472972972972973,0.006756756756756757,-0.09185094838852277,-0.07077140186492248,0.6134716072627221,-0.4430101323650734,-0.07077140186492248,0.2961049404206645,0.44594594594594594,0.5472972972972973,0.44594594594594594,-1.8214616638021288,0.36823785676382303,0.52638917561729,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,168,147,0.6394557823129252,0.36054421768707484,0.0,0.2126308805912301,0.3764316587361756,1.2763571278927643,-0.6699342089767888,0.3764316587361756,1.0565483786638645,0.6394557823129252,0.36054421768707484,0.6394557823129252,2.019820599389051,0.5591952051688388,0.7126131023537544,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
USDJPY,336,146,0.6301369863013698,0.3698630136986301,0.0,0.3625697798216102,0.6784099062660434,1.973881172646762,-0.8732659441004493,0.6784099062660434,1.6197994909349247,0.6301369863013698,0.3698630136986301,0.6301369863013698,2.219458485611978,0.5494288981700316,0.7041722379630583,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,24,178,0.5168539325842697,0.48314606741573035,0.0,-0.035689341913262826,0.07270171868706177,1.8060889311460215,-0.9305921250405815,0.07270171868706177,1.0874002085690706,0.5168539325842697,0.48314606741573035,0.5168539325842697,-0.26363885092544176,0.44386423584276075,0.5891315143046204,UNVERIFIED_PYTHON_APPROXIMATION,borderline
XAGUSD,168,178,0.5730337078651685,0.42696629213483145,0.0,0.45702822032841744,0.8257501113077019,3.681491798546298,-1.989873443035325,0.8257501113077019,2.923833616022264,0.5730337078651685,0.42696629213483145,0.5730337078651685,1.6562625471160828,0.49957962830407576,0.6434019556679086,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,336,178,0.5168539325842697,0.48314606741573035,0.0,0.8010767933439568,0.44419224468916774,5.538232246984299,-2.7482409915242973,0.44419224468916774,4.64954285730489,0.5168539325842697,0.48314606741573035,0.5168539325842697,1.9298030472056016,0.44386423584276075,0.5891315143046204,UNVERIFIED_PYTHON_APPROXIMATION,borderline
XAUUSD,24,147,0.5850340136054422,0.41496598639455784,0.0,0.13418828998283566,0.11639197800623138,0.9572527175125539,-0.3038973601750674,0.11639197800623138,0.6851645635750464,0.5850340136054422,0.41496598639455784,0.5850340136054422,1.6995998260992806,0.504207838271765,0.661528934607865,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,168,146,0.589041095890411,0.410958904109589,0.0,0.39008964424439624,0.39393663172075355,1.9810695916447232,-0.8607017108551794,0.39393663172075355,1.5224360120512932,0.589041095890411,0.410958904109589,0.589041095890411,2.379255693544301,0.5079459611651762,0.6655706056627275,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,336,146,0.589041095890411,0.410958904109589,0.0,0.7689940844072898,0.42621157832175705,2.747448880926975,-1.120316952823942,0.42621157832175705,2.4641248200760426,0.589041095890411,0.410958904109589,0.589041095890411,3.3819704307584955,0.5079459611651762,0.6655706056627275,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
