symbol,year,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
EURJPY,2025,168,40,0.625,0.375,0.0,0.30928329309241587,0.4892902078685166,0.8214150272884899,-0.2331885085497956,0.4892902078685166,0.9409703584531995,0.625,0.375,0.625,2.3813531915479746,0.47032160054531913,0.7577722646420829,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,2025,336,39,0.7435897435897436,0.2564102564102564,0.0,0.4239351181450022,0.39946040864742344,1.120692573336304,-0.012768860240134763,0.39946040864742344,1.0891197602145244,0.7435897435897436,0.2564102564102564,0.7435897435897436,2.362355232162191,0.589180432321585,0.854313741565478,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,2022,24,31,0.41935483870967744,0.5806451612903226,0.0,-0.10754514954731646,-0.06238932197302635,0.8186444419965642,-0.41612309967957173,-0.06238932197302635,0.4985858799206248,0.41935483870967744,0.5806451612903226,0.41935483870967744,-0.7314360427152169,0.26415303073549257,0.5923403564797902,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,2022,168,31,0.41935483870967744,0.5806451612903226,0.0,-0.5103852429370502,-0.27159520612906163,1.613878469700161,-1.3402568354782747,-0.27159520612906163,0.539637703089902,0.41935483870967744,0.5806451612903226,0.41935483870967744,-1.7607922903062247,0.26415303073549257,0.5923403564797902,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,2022,336,31,0.45161290322580644,0.5483870967741935,0.0,-0.178116564741262,-0.13974707659143293,2.1980840270850828,-1.3196181963942513,-0.13974707659143293,1.0698211327542548,0.45161290322580644,0.5483870967741935,0.45161290322580644,-0.4511706783617504,0.29161482836586106,0.6222812039633085,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,2023,24,30,0.6,0.4,0.0,0.09761252604929617,0.08996208331216865,0.6061568206451888,-0.44760132859659263,0.08996208331216865,0.3694155690439742,0.6,0.4,0.6,0.882025584655681,0.4232005249827383,0.754096056739166,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,2023,168,30,0.6666666666666666,0.3333333333333333,0.0,0.35089825560922056,0.38948260646684846,0.9983818208924827,-0.45022427312301644,0.38948260646684846,0.9813189286450401,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.9250639982063693,0.48779725813830266,0.807697044731538,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,2023,336,30,0.6333333333333333,0.36666666666666664,0.0,0.46810530088553864,0.18313417255012224,1.4672128405096434,-0.41823567008372026,0.18313417255012224,1.4753748275017533,0.6333333333333333,0.36666666666666664,0.6333333333333333,1.7474753866909563,0.45513246433604937,0.7812629779598231,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,2024,24,35,0.6,0.4,0.0,-0.0036118208639398814,0.19223647809702696,0.6412953539988003,-0.34537819727789965,0.19223647809702696,0.3160392981700304,0.6,0.4,0.6,-0.03331978044140344,0.43572419581519467,0.7444949506669274,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,2024,168,35,0.5714285714285714,0.42857142857142855,0.0,-0.39899675997751216,0.2637117297953366,2.0639504738655465,-1.5077108047417103,0.2637117297953366,0.8247870153264276,0.5714285714285714,0.42857142857142855,0.5714285714285714,-1.143678927917425,0.4085712925897337,0.7201566691832108,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,2024,336,35,0.45714285714285713,0.5428571428571428,0.0,-0.7010101317685097,-0.2475038524053755,2.517902592415662,-2.1567821847345217,-0.2475038524053755,1.1770724730156144,0.45714285714285713,0.5428571428571428,0.45714285714285713,-1.6470978189528953,0.3046577363376085,0.6181054865986247,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
