symbol,analysis_session_scope,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
USDJPY,london_only,24,14,0.21428571428571427,0.7857142857142857,0.0,-0.08010295881580383,-0.21152551975386225,0.5077936261093374,-0.25674033033190735,-0.21152551975386225,-0.04814290262447,0.21428571428571427,0.7857142857142857,0.21428571428571427,-0.5902355054198068,0.07571248336916367,0.4758972377320828,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,london_only,168,14,0.5714285714285714,0.42857142857142855,0.0,-0.1918790291572256,0.14564309600526312,1.4079751132092904,-1.6414422413374306,0.14564309600526312,1.0634488084199594,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.5099135489523569,0.3259026690286936,0.7861949006959948,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
USDJPY,london_only,336,14,0.35714285714285715,0.6428571428571429,0.0,-0.5600952894360762,-0.3441759234378608,2.12771453355821,-1.495928769860844,-0.3441759234378608,0.39310322599631387,0.35714285714285715,0.6428571428571429,0.35714285714285715,-0.9849463562723038,0.16344490737202733,0.6123599531785959,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,london_or_newyork,24,28,0.35714285714285715,0.6428571428571429,0.0,-0.12599442813051215,-0.15587669948407556,0.5947813800316415,-0.26316453469111184,-0.15587669948407556,0.10352954377611898,0.35714285714285715,0.6428571428571429,0.35714285714285715,-1.1209158006775604,0.20705611972458876,0.5417002241777278,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,london_or_newyork,168,28,0.5,0.5,0.0,-0.1429151566094324,0.017761127857882385,1.4409997528635432,-1.4722519518234123,0.01776112785788239,1.1229399520226335,0.5,0.5,0.5,-0.5247994834405962,0.3263284683244634,0.6736715316755366,UNVERIFIED_PYTHON_APPROXIMATION,borderline
USDJPY,london_or_newyork,336,27,0.37037037037037035,0.6296296296296297,0.0,-0.6567100066606234,-0.40759191403517536,2.1466975772314822,-2.0648864264356814,-0.40759191403517536,0.44212398409242204,0.37037037037037035,0.6296296296296297,0.37037037037037035,-1.5895882719195549,0.21532287067936853,0.557710953765537,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
XAGUSD,all_sessions,24,127,0.5433070866141733,0.4566929133858268,0.0,0.25597062832417866,0.13689556193419652,1.535941929652985,-0.7375858833796857,0.13689556193419652,1.2229285563377799,0.5433070866141733,0.4566929133858268,0.5433070866141733,1.8780934524583182,0.45667325127746106,0.6273978698338675,UNVERIFIED_PYTHON_APPROXIMATION,usable
XAGUSD,all_sessions,168,127,0.5748031496062992,0.41732283464566927,0.007874015748031496,0.5608787608295743,0.7545374209774922,3.4902611666586574,-1.8568555521238563,0.7545374209774922,2.7811324875727252,0.5748031496062992,0.41732283464566927,0.5748031496062992,1.8109769798763362,0.48786781499838405,0.6573459396484561,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,all_sessions,336,127,0.5826771653543307,0.41732283464566927,0.0,1.2247962200641245,0.8491115143629867,5.004065228283358,-1.9225058878101084,0.8491115143629867,3.960766945776119,0.5826771653543307,0.41732283464566927,0.5826771653543307,2.7583078521796875,0.4957194143324227,0.6647799986982953,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,london_only,24,32,0.5625,0.4375,0.0,0.21226369353883467,0.13053003148324832,1.389041699023593,-0.746484712908233,0.13053003148324832,1.239268690452679,0.5625,0.4375,0.5625,0.8644411306385918,0.3932530203122613,0.7183491403055682,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
